,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
979,8851,MOVIMIENTO REGIONAL AYNI,1,19,ANGARAES - HUANCAVELICA,136,HUANCAVELICA,ANGARAES,,5,10,9,SI,9,10,MUNICIPAL PROVINCIAL
980,11413,ACCION POPULAR,1,9,CARHUAZ - ANCASH,4,ANCASH,CARHUAZ,,5,5,4,SI,1,8,MUNICIPAL PROVINCIAL
981,8191,PARTIDO MORADO,1,14,HUAMANGA - AYACUCHO,2840,AYACUCHO,HUAMANGA,,5,8,6,SI,2,12,MUNICIPAL PROVINCIAL
982,2073,ACCION POPULAR,1,11,ANTA - CUSCO,4,CUSCO,ANTA,,5,6,5,SI,1,10,MUNICIPAL PROVINCIAL
983,12540,ALIANZA PARA EL PROGRESO,1,15,SECHURA - PIURA,1257,PIURA,SECHURA,,5,8,7,SI,5,10,MUNICIPAL PROVINCIAL
984,11473,ACCION POPULAR,1,10,HUARMEY - ANCASH,4,ANCASH,HUARMEY,,5,5,5,SI,2,8,MUNICIPAL PROVINCIAL
985,12479,ALIANZA PARA EL PROGRESO,1,14,TALARA - PIURA,1257,PIURA,TALARA,,5,8,6,SI,2,12,MUNICIPAL PROVINCIAL
986,13957,PARTIDO FRENTE DE LA ESPERANZA 2021,1,16,CUSCO - CUSCO,2857,CUSCO,CUSCO,,5,9,7,SI,2,14,MUNICIPAL PROVINCIAL
987,12465,ALIANZA PARA EL PROGRESO,1,18,SULLANA - PIURA,1257,PIURA,SULLANA,,5,9,9,SI,4,14,MUNICIPAL PROVINCIAL
988,12455,ALIANZA PARA EL PROGRESO,1,16,MORROPON - PIURA,1257,PIURA,MORROPON,,5,8,8,SI,4,12,MUNICIPAL PROVINCIAL
989,13955,MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA,1,12,LAMPA - PUNO,2702,PUNO,LAMPA,,5,7,5,SI,4,8,MUNICIPAL PROVINCIAL
990,13926,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,1,16,LEONCIO PRADO - HUANUCO,2730,HUANUCO,LEONCIO PRADO,,5,8,8,SI,4,12,MUNICIPAL PROVINCIAL
991,13920,FE EN EL PERU,1,10,ZARUMILLA - TUMBES,2898,TUMBES,ZARUMILLA,,5,5,5,NO,0,10,MUNICIPAL PROVINCIAL
992,10981,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,9,CONTUMAZA - CAJAMARCA,2173,CAJAMARCA,CONTUMAZA,,5,5,4,SI,1,8,MUNICIPAL PROVINCIAL
993,10670,PARTIDO PATRIOTICO DEL PERU,1,12,AYABACA - PIURA,2869,PIURA,AYABACA,,5,7,5,NO,0,12,MUNICIPAL PROVINCIAL
994,9417,ALIANZA POR NUESTRO DESARROLLO,1,18,PARINACOCHAS - AYACUCHO,2710,AYACUCHO,PARINACOCHAS,,5,10,8,SI,10,8,MUNICIPAL PROVINCIAL
995,9686,MOVIMIENTO REGIONAL AGUA,1,9,CHURCAMPA - HUANCAVELICA,2681,HUANCAVELICA,CHURCAMPA,,5,4,5,SI,1,8,MUNICIPAL PROVINCIAL
996,12909,DEMOCRATA VERDE,1,14,SANTA - ANCASH,2895,ANCASH,SANTA,,5,8,6,NO,0,14,MUNICIPAL PROVINCIAL
997,12671,DEMOCRATA VERDE,1,14,ASCOPE - LA LIBERTAD,2895,LA LIBERTAD,ASCOPE,,5,8,6,SI,2,12,MUNICIPAL PROVINCIAL
998,13906,PARTIDO POLITICO NACIONAL PERU LIBRE,1,16,HUANCAVELICA - HUANCAVELICA,2218,HUANCAVELICA,HUANCAVELICA,,5,9,7,SI,4,12,MUNICIPAL PROVINCIAL
999,10831,PARTIDO POLITICO NACIONAL PERU LIBRE,1,20,TACNA - TACNA,2218,TACNA,TACNA,,5,11,9,SI,6,14,MUNICIPAL PROVINCIAL
1000,11739,DEMOCRATA VERDE,1,16,TRUJILLO - LA LIBERTAD,2895,LA LIBERTAD,TRUJILLO,,5,9,7,NO,0,16,MUNICIPAL PROVINCIAL
1001,11698,DEMOCRATA VERDE,1,14,SULLANA - PIURA,2895,PIURA,SULLANA,,5,7,7,NO,0,14,MUNICIPAL PROVINCIAL
1002,11370,DEMOCRATA VERDE,2,14,TACNA - TACNA,2895,TACNA,TACNA,,5,8,6,NO,0,14,MUNICIPAL PROVINCIAL
1003,11335,DEMOCRATA VERDE,1,18,TACNA - TACNA,2895,TACNA,TACNA,,5,9,9,SI,4,14,MUNICIPAL PROVINCIAL
1004,14005,PARTIDO DEMOCRATICO SOMOS PERU,1,10,AMBO - HUANUCO,14,HUANUCO,AMBO,,5,6,4,NO,0,10,MUNICIPAL PROVINCIAL
1005,11302,DEMOCRATA VERDE,1,11,HUALGAYOC - CAJAMARCA,2895,CAJAMARCA,HUALGAYOC,,5,6,5,SI,1,10,MUNICIPAL PROVINCIAL
1006,14032,SOMOS PUEBLO,1,19,PUNO - PUNO,2657,PUNO,PUNO,,5,10,9,SI,7,12,MUNICIPAL PROVINCIAL
1007,14043,ALIANZA PARA EL PROGRESO,1,14,TOCACHE - SAN MARTIN,1257,SAN MARTIN,TOCACHE,,5,8,6,SI,4,10,MUNICIPAL PROVINCIAL
1008,10689,DEMOCRATA VERDE,1,13,BARRANCA - LIMA,2895,LIMA,BARRANCA,,5,7,6,SI,1,12,MUNICIPAL PROVINCIAL
1009,13899,PARTIDO DEMOCRATICO SOMOS PERU,1,8,CARHUAZ - ANCASH,14,ANCASH,CARHUAZ,,5,4,4,NO,0,8,MUNICIPAL PROVINCIAL
1010,4079,JUNTOS POR EL PERU,1,10,LUCANAS - AYACUCHO,1264,AYACUCHO,LUCANAS,,5,5,5,NO,0,10,MUNICIPAL PROVINCIAL
1011,4693,FUERZA POPULAR,1,10,VIRU - LA LIBERTAD,1366,LA LIBERTAD,VIRU,,5,6,4,NO,0,10,MUNICIPAL PROVINCIAL
1012,14064,PODEMOS PERU,1,12,HUANCANE - PUNO,2731,PUNO,HUANCANE,,5,7,5,SI,2,10,MUNICIPAL PROVINCIAL
1013,4689,FUERZA POPULAR,1,12,SANCHEZ CARRION - LA LIBERTAD,1366,LA LIBERTAD,SANCHEZ CARRION,,5,7,5,NO,0,12,MUNICIPAL PROVINCIAL
1014,9975,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,15,CANCHIS - CUSCO,2901,CUSCO,CANCHIS,,5,8,7,SI,3,12,MUNICIPAL PROVINCIAL
1015,14009,PARTIDO DEMOCRATICO SOMOS PERU,1,20,ALTO AMAZONAS - LORETO,14,LORETO,ALTO AMAZONAS,,5,11,9,SI,8,12,MUNICIPAL PROVINCIAL
1016,42,PODEMOS PERU,1,10,ESPINAR - CUSCO,2731,CUSCO,ESPINAR,,5,6,4,NO,0,10,MUNICIPAL PROVINCIAL
1017,7660,PARTIDO POLITICO NACIONAL PERU LIBRE,1,8,PALLASCA - ANCASH,2218,ANCASH,PALLASCA,,5,5,3,NO,0,8,MUNICIPAL PROVINCIAL
1018,4677,FUERZA POPULAR,1,16,TRUJILLO - LA LIBERTAD,1366,LA LIBERTAD,TRUJILLO,,5,9,7,NO,0,16,MUNICIPAL PROVINCIAL
1019,1191,MOVIMENTO INDEPENDIENTE REGIONAL FUERZA TACNA,1,7,TARATA - TACNA,2432,TACNA,TARATA,,5,4,3,SI,1,6,MUNICIPAL PROVINCIAL
1020,8667,DEMOCRATA VERDE,1,12,MORROPON - PIURA,2895,PIURA,MORROPON,,5,6,6,NO,0,12,MUNICIPAL PROVINCIAL
1021,3511,FUERZA POPULAR,1,10,CHEPEN - LA LIBERTAD,1366,LA LIBERTAD,CHEPEN,,5,5,5,NO,0,10,MUNICIPAL PROVINCIAL
1022,2942,FUERZA POPULAR,1,13,PACASMAYO - LA LIBERTAD,1366,LA LIBERTAD,PACASMAYO,,5,7,6,SI,1,12,MUNICIPAL PROVINCIAL
1023,13265,MOVIMIENTO REGIONAL INKA PACHAKUTEQ,1,8,PAUCARTAMBO - CUSCO,2368,CUSCO,PAUCARTAMBO,,5,5,3,NO,0,8,MUNICIPAL PROVINCIAL
1024,8730,GESTIONANDO OBRAS Y OPORTUNIDADES CON LIDERAZGO,2,15,SAN ROMAN - PUNO,2667,PUNO,SAN ROMAN,,5,7,8,SI,1,14,MUNICIPAL PROVINCIAL
1025,5739,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,12,TARMA - JUNIN,2901,JUNIN,TARMA,,5,6,6,SI,2,10,MUNICIPAL PROVINCIAL
1026,2929,FUERZA POPULAR,1,9,GRAN CHIMU - LA LIBERTAD,1366,LA LIBERTAD,GRAN CHIMU,,5,5,4,SI,1,8,MUNICIPAL PROVINCIAL
1027,14087,ALIANZA PARA EL PROGRESO,1,9,VICTOR FAJARDO - AYACUCHO,1257,AYACUCHO,VICTOR FAJARDO,,5,5,4,SI,3,6,MUNICIPAL PROVINCIAL
1028,3346,PARTIDO FRENTE DE LA ESPERANZA 2021,1,14,HUALGAYOC - CAJAMARCA,2857,CAJAMARCA,HUALGAYOC,,5,8,6,SI,4,10,MUNICIPAL PROVINCIAL
1029,2911,FUERZA POPULAR,1,12,ASCOPE - LA LIBERTAD,1366,LA LIBERTAD,ASCOPE,,5,6,6,NO,0,12,MUNICIPAL PROVINCIAL
1030,13975,MOVIMIENTO DE INTEGRACION POR EL DESARROLLO REGIONAL (MI CASITA),1,13,MELGAR - PUNO,2668,PUNO,MELGAR,,5,7,6,SI,3,10,MUNICIPAL PROVINCIAL
1031,14070,MOVIMIENTO REGIONAL AGUA,1,13,LUCANAS - AYACUCHO,2861,AYACUCHO,LUCANAS,,5,7,6,SI,3,10,MUNICIPAL PROVINCIAL
1032,14026,PARTIDO MORADO,1,20,CHICLAYO - LAMBAYEQUE,2840,LAMBAYEQUE,CHICLAYO,,5,11,9,SI,4,16,MUNICIPAL PROVINCIAL
1033,13637,PARTIDO PATRIOTICO DEL PERU,2,18,CHICLAYO - LAMBAYEQUE,2869,LAMBAYEQUE,CHICLAYO,,5,9,9,SI,2,16,MUNICIPAL PROVINCIAL
1034,7614,CORAZON PATRIOTA,1,14,CONCEPCION - JUNIN,2729,JUNIN,CONCEPCION,,5,8,6,SI,4,10,MUNICIPAL PROVINCIAL
1035,14101,CAMINEMOS JUNTOS POR JUNIN,1,10,YAULI - JUNIN,122,JUNIN,YAULI,,5,6,4,SI,2,8,MUNICIPAL PROVINCIAL
1036,14131,JUNIN RENACE,1,12,TARMA - JUNIN,2716,JUNIN,TARMA,,5,7,5,SI,2,10,MUNICIPAL PROVINCIAL
1037,14099,PARTIDO MORADO,1,15,ABANCAY - APURIMAC,2840,APURIMAC,ABANCAY,,5,8,7,SI,3,12,MUNICIPAL PROVINCIAL
1038,2826,FUERZA POPULAR,1,19,AREQUIPA - AREQUIPA,1366,AREQUIPA,AREQUIPA,,5,10,9,SI,3,16,MUNICIPAL PROVINCIAL
1039,13271,PARTIDO POLITICO NACIONAL PERU LIBRE,1,12,TARMA - JUNIN,2218,JUNIN,TARMA,,5,6,6,SI,2,10,MUNICIPAL PROVINCIAL
1040,13914,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,16,SANTA - ANCASH,2173,ANCASH,SANTA,,5,9,7,SI,2,14,MUNICIPAL PROVINCIAL
1041,11618,FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO,1,12,YUNGUYO - PUNO,1670,PUNO,YUNGUYO,,5,7,5,SI,4,8,MUNICIPAL PROVINCIAL
1042,12030,PARTIDO MORADO,1,14,CORONEL PORTILLO - UCAYALI,2840,UCAYALI,CORONEL PORTILLO,,5,7,7,NO,0,14,MUNICIPAL PROVINCIAL
1043,11080,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,1,18,TARMA - JUNIN,2680,JUNIN,TARMA,,5,10,8,SI,8,10,MUNICIPAL PROVINCIAL
1044,14189,ALIANZA PARA EL PROGRESO,1,11,MANU - MADRE DE DIOS,1257,MADRE DE DIOS,MANU,,5,6,5,SI,5,6,MUNICIPAL PROVINCIAL
1045,14176,MOVIMIENTO ACCION NACIONALISTA PERUANO,1,16,SANTA - ANCASH,360,ANCASH,SANTA,,5,9,7,SI,2,14,MUNICIPAL PROVINCIAL
1046,14183,PARTIDO POLITICO NACIONAL PERU LIBRE,1,10,CHURCAMPA - HUANCAVELICA,2218,HUANCAVELICA,CHURCAMPA,,5,5,5,SI,2,8,MUNICIPAL PROVINCIAL
1047,14178,PASCO DIGNIDAD,1,10,DANIEL ALCIDES CARRION - PASCO,1705,PASCO,DANIEL ALCIDES CARRION,,5,6,4,SI,2,8,MUNICIPAL PROVINCIAL
1048,4171,MOVIMIENTO INDEPENDIENTE POLITICO VOLUNTAD GENERAL AMAZONICA - VOGA ,1,19,MAYNAS - LORETO,2333,LORETO,MAYNAS,,5,10,9,SI,3,16,MUNICIPAL PROVINCIAL
1049,14175,MOVIMIENTO POLITICO REGIONAL SUMATE AL CAMBIO,1,13,MARISCAL NIETO - MOQUEGUA,2891,MOQUEGUA,MARISCAL NIETO,,5,7,6,SI,3,10,MUNICIPAL PROVINCIAL
1050,14193,MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA,1,13,EL COLLAO - PUNO,2702,PUNO,EL COLLAO,,5,7,6,SI,3,10,MUNICIPAL PROVINCIAL
1051,14201,ALIANZA PARA EL PROGRESO,1,6,TAHUAMANU - MADRE DE DIOS,1257,MADRE DE DIOS,TAHUAMANU,,5,4,2,NO,0,6,MUNICIPAL PROVINCIAL
1052,13821,PARTIDO POLITICO NACIONAL PERU LIBRE,1,14,PAUCARTAMBO - CUSCO,2218,CUSCO,PAUCARTAMBO,,5,8,6,SI,6,8,MUNICIPAL PROVINCIAL
