,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
77,21791,1366,FUERZA POPULAR,4,REGIONAL,1709,MOYOBAMBA,https://mpesije.jne.gob.pe/docs/261dbc0e-8c18-44a3-8f5e-58d96f6d22b4.pdf,https://mpesije.jne.gob.pe/docs/d5b30d13-7783-471e-87bf-ae39ad751ac3.pdf,,ERM.2022016184,158,INSCRITO,32,210000,,SAN MARTIN,,
78,18962,1366,FUERZA POPULAR,4,REGIONAL,1715,PIURA,https://mpesije.jne.gob.pe/docs/230594bf-05b5-42ca-ba18-f4fddc22903e.pdf,https://mpesije.jne.gob.pe/docs/0b3f2a16-6c67-42f4-8197-2c1318705b8e.pdf,,ERM.2022017457,158,INSCRITO,24,190000,,PIURA,,
79,28518,1366,FUERZA POPULAR,4,REGIONAL,1657,CALLAO,https://mpesije.jne.gob.pe/docs/085481ac-577d-475b-99d5-f3a16ca028c3.pdf,https://mpesije.jne.gob.pe/docs/bf4dfc4b-407d-446f-afe7-4e45269a94c8.pdf,,ERM.2022008485,158,INSCRITO,20,240000,,CALLAO,,
80,19983,1366,FUERZA POPULAR,4,REGIONAL,1733,TRUJILLO,https://mpesije.jne.gob.pe/docs/ecfbf0b6-40ac-4457-a801-66ee843f48b1.pdf,https://mpesije.jne.gob.pe/docs/570212ff-f80d-451e-8ab5-aac4a63588a3.pdf,,ERM.2022008049,158,INSCRITO,36,120000,,LA LIBERTAD,,
81,21888,1366,FUERZA POPULAR,4,REGIONAL,1682,HUARAZ,https://mpesije.jne.gob.pe/docs/31605971-43e8-49d1-9962-09063a6962df.pdf,https://mpesije.jne.gob.pe/docs/a7884a17-2cf7-4f46-a6fe-ca5f7b05cd07.pdf,,ERM.2022017756,158,INSCRITO,52,20000,,ANCASH,,
82,25212,1366,FUERZA POPULAR,4,REGIONAL,1680,HUANUCO,https://mpesije.jne.gob.pe/docs/7a00f9e0-b728-4e14-8cb7-66f941709f81.pdf,https://mpesije.jne.gob.pe/docs/98951bd7-006e-4803-8fcf-4eabe2c9065e.pdf,,ERM.2022014988,158,INSCRITO,42,90000,,HUANUCO,,
83,18589,1366,FUERZA POPULAR,4,REGIONAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/da22dec3-b4d3-4066-8c7b-d7fe33cc0341.pdf,https://mpesije.jne.gob.pe/docs/5c3082b0-3749-4aa4-9b61-4b81dcc34438.pdf,,ERM.2022018065,158,INSCRITO,22,10000,,AMAZONAS,,
84,27129,1366,FUERZA POPULAR,4,REGIONAL,1666,CHICLAYO,https://mpesije.jne.gob.pe/docs/d5c3e443-fe29-4c26-a60b-c52e31f83f4a.pdf,https://mpesije.jne.gob.pe/docs/6dc4e17b-abf0-468d-8759-058eec305e0b.pdf,,ERM.2022017291,158,INSCRITO,22,130000,,LAMBAYEQUE,,
85,20576,1366,FUERZA POPULAR,4,REGIONAL,1734,TUMBES,https://mpesije.jne.gob.pe/docs/6d574e0c-9354-4630-a031-d1eac4a621cd.pdf,https://mpesije.jne.gob.pe/docs/04eb587b-9063-4d16-ad66-2b63fb6685a0.pdf,,ERM.2022013126,158,INSCRITO,16,230000,,TUMBES,,
86,29253,2667,GESTIONANDO OBRAS Y OPORTUNIDADES CON LIDERAZGO,4,REGIONAL,1718,PUNO,https://mpesije.jne.gob.pe/docs/5e8a9b8f-07d6-48cd-9cf4-daf468380210.pdf,https://mpesije.jne.gob.pe/docs/82efd6f0-2d27-4fd2-9c1a-777efa5ed2d6.pdf,,ERM.2022017210,158,INSCRITO,40,200000,,PUNO,,
