,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo,departamento,postulaDepartamento,txUbigeo,organizacionPolitica,nombreCompleto,postulaProvincia,feNacimiento,txSexo,age
30,5,JUNTOS POR EL PERU,,100.0,"3,009","3,009","8,765",00000005.jpg,1.419,1.198,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,JUNTOS POR EL PERU,LIZET JUANA APAZA BEJARANO,AREQUIPA,1977-02-19,F,45
31,7,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.0,"3,009","3,009","11,690",00000007.jpg,1.892,1.597,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,SANDRO MAXIMO CASTRO ATAO,AREQUIPA,1982-10-16,M,39
32,26,MOVIMIENTO REGIONAL REVALORA,,100.0,"3,009","3,009","15,435",00000026.jpg,2.498,2.109,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,MOVIMIENTO REGIONAL REVALORA,PERCY LUIS CORNEJO BARRAGAN,AREQUIPA,1970-10-13,M,51
33,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,"3,009","3,009","19,406",00000008.jpg,3.141,2.652,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,PARTIDO POLITICO NACIONAL PERU LIBRE,KAREN GIOVANNA RICRA CARRILLO,AREQUIPA,1982-02-19,F,40
34,4,ALIANZA PARA EL PROGRESO,,100.0,"3,009","3,009","19,644",00000004.jpg,3.18,2.684,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,ALIANZA PARA EL PROGRESO,LUIS MAGNO AGUIRRE CHAVEZ,AREQUIPA,1961-03-12,M,61
35,4,ALIANZA PARA EL PROGRESO,,100.0,"3,009","3,009","19,644",00000004.jpg,3.18,2.684,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,ALIANZA PARA EL PROGRESO,LUIS MAGNO AGUIRRE CHAVEZ,AREQUIPA,1961-03-12,M,61
36,30,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.0,"3,009","3,009","20,598",00000030.jpg,3.334,2.815,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,ROGER ANGHELO HUERTA PRESBITERO,AREQUIPA,1975-07-27,M,47
37,29,FUERZA AREQUIPEÑA,,100.0,"3,009","3,009","50,867",00000029.jpg,8.233,6.951,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,FUERZA AREQUIPEÑA,GILMAR HENRY LUNA BOYER,AREQUIPA,1981-04-22,M,41
38,33,AREQUIPA TRANSFORMACION,,100.0,"3,009","3,009","74,349",00000033.jpg,12.034,10.16,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,AREQUIPA TRANSFORMACION,RICARDO ALFREDO RAMIREZ DEL VILLAR LLOSA,AREQUIPA,1963-01-22,M,59
39,31,"AREQUIPA, TRADICION Y FUTURO",,100.0,"3,009","3,009","81,046",00000031.jpg,13.118,11.075,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,"AREQUIPA, TRADICION Y FUTURO",LUIS JUSTO MAYTA LIVISI,AREQUIPA,1957-08-19,M,65
40,27,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.0,"3,009","3,009","94,334",00000027.jpg,15.269,12.891,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,BENIGNO TEOFILO CORNEJO VALENCIA,AREQUIPA,1963-02-06,M,59
41,28,YO AREQUIPA,,100.0,"3,009","3,009","95,083",00000028.jpg,15.39,12.993,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,YO AREQUIPA,LUIS ROBERTO GAMERO JUAREZ,AREQUIPA,1956-12-08,M,65
42,32,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.0,"3,009","3,009","97,806",00000032.jpg,15.831,13.365,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,JUNTOS POR EL DESARROLLO DE AREQUIPA,VICTOR HUGO RIVERA CHAVEZ,AREQUIPA,1967-01-11,M,55
43,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,725,725,"2,318",00000002.jpg,1.618,1.395,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,PARTIDO DEMOCRATICO SOMOS PERU,EDWIN RUIZ MEDINA,HUAMANGA,1965-12-13,M,56
44,11,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.0,725,725,"3,750",00000011.jpg,2.618,2.257,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,PARTIDO FRENTE DE LA ESPERANZA 2021,MAGNO SOSA ROJAS,HUAMANGA,1967-07-18,M,55
45,4,ALIANZA PARA EL PROGRESO,,100.0,725,725,"4,038",00000004.jpg,2.819,2.43,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,ALIANZA PARA EL PROGRESO,PERCI RIVAS OCEJO,HUAMANGA,1977-08-04,M,45
46,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,725,725,"4,054",00000008.jpg,2.83,2.44,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,PARTIDO POLITICO NACIONAL PERU LIBRE,DANNY ERIKSSON RAMOS QUISPE,HUAMANGA,1988-09-22,M,34
47,34,MOVIMIENTO REGIONAL GANA AYACUCHO,,100.0,725,725,"20,053",00000034.jpg,14.001,12.068,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,MOVIMIENTO REGIONAL GANA AYACUCHO,GERMAN SALVADOR MARTINELLI CHUCHON,HUAMANGA,1963-11-09,M,58
48,35,ALIANZA POR NUESTRO DESARROLLO,,100.0,725,725,"25,849",00000035.jpg,18.047,15.555,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,ALIANZA POR NUESTRO DESARROLLO,PAVEL TORRES QUISPE,HUAMANGA,1970-11-19,M,51
49,37,MOVIMIENTO REGIONAL WARI LLAQTA,,100.0,725,725,"37,763",00000037.jpg,26.366,22.725,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,MOVIMIENTO REGIONAL WARI LLAQTA,LUIS ATILIO LEDESMA ESTRADA,HUAMANGA,1960-08-11,M,62
50,36,MOVIMIENTO REGIONAL AGUA,,100.0,725,725,"45,403",00000036.jpg,31.7,27.323,05,07/10/2022,16:00 h,98.7738,50100,AYACUCHO,AYACUCHO,50100,MOVIMIENTO REGIONAL AGUA,JUAN CARLOS ARANGO CLAUDIO,HUAMANGA,1981-09-16,M,41
51,3,RENOVACION POPULAR,,100.0,929,929,"2,909",00000003.jpg,1.615,1.346,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,RENOVACION POPULAR,CRISTIAN HORACIO GALVEZ RUIZ,CAJAMARCA,1976-06-16,M,46
52,11,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.0,929,929,"7,733",00000011.jpg,4.293,3.578,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,PARTIDO FRENTE DE LA ESPERANZA 2021,CESAR AUGUSTO PLASENCIA FERNANDEZ,CAJAMARCA,1979-12-17,M,42
53,4,ALIANZA PARA EL PROGRESO,,100.0,929,929,"13,120",00000004.jpg,7.283,6.07,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,ALIANZA PARA EL PROGRESO,ERIBERTO VILLANUEVA CASTREJON,CAJAMARCA,1983-03-08,M,39
54,39,FRENTE REGIONAL DE CAJAMARCA,,100.0,929,929,"24,223",00000039.jpg,13.446,11.207,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,FRENTE REGIONAL DE CAJAMARCA,HENRY SEGUNDO ALCANTARA SALAZAR,CAJAMARCA,1980-06-21,M,42
55,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,929,929,"25,279",00000002.jpg,14.032,11.696,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,PARTIDO DEMOCRATICO SOMOS PERU,JESUS JULCA DIAZ,CAJAMARCA,1977-04-02,M,45
56,7,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.0,929,929,"51,829",00000007.jpg,28.77,23.98,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,SERGIO SANCHEZ IBAÑEZ,CAJAMARCA,1974-09-10,M,48
57,38,CAJAMARCA SIEMPRE VERDE,,100.0,929,929,"55,056",00000038.jpg,30.561,25.473,06,07/10/2022,16:00 h,98.4110,60100,CAJAMARCA,CAJAMARCA,60100,CAJAMARCA SIEMPRE VERDE,REBER JOAQUIN RAMIREZ GAMARRA,CAJAMARCA,1970-01-07,M,52
58,9,PODEMOS PERU,,100.0,"1,170","1,170","4,626",00000009.jpg,2.096,1.701,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,PODEMOS PERU,ABEL VILLENA LETONA,CUSCO,1966-07-30,M,56
59,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,"1,170","1,170","6,721",00000008.jpg,3.045,2.471,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,PARTIDO POLITICO NACIONAL PERU LIBRE,JUAN CCOTOHUANCA PUCHO,CUSCO,1981-10-20,M,40
60,3,RENOVACION POPULAR,,100.0,"1,170","1,170","7,793",00000003.jpg,3.531,2.865,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,RENOVACION POPULAR,JOSE CARLOS HUAMAN CRUZ,CUSCO,1983-04-06,M,39
61,5,JUNTOS POR EL PERU,,100.0,"1,170","1,170","13,449",00000005.jpg,6.093,4.944,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,JUNTOS POR EL PERU,TANIA CARDEÑA ZUNIGA,CUSCO,1969-12-27,F,52
62,47,AUTOGOBIERNO AYLLU,,100.0,"1,170","1,170","17,265",00000047.jpg,7.822,6.347,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,AUTOGOBIERNO AYLLU,GABRIELA PALIZA ROMERO,CUSCO,1989-03-04,F,33
63,4,ALIANZA PARA EL PROGRESO,,100.0,"1,170","1,170","23,468",00000004.jpg,10.633,8.627,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,ALIANZA PARA EL PROGRESO,LUIS ARTURO FLOREZ GARCIA,CUSCO,1962-07-06,M,60
64,11,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.0,"1,170","1,170","42,120",00000011.jpg,19.083,15.484,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,PARTIDO FRENTE DE LA ESPERANZA 2021,POLICARPO CCORIMANYA ZUNIGA,CUSCO,1959-01-26,M,63
65,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,"1,170","1,170","44,210",00000002.jpg,20.03,16.252,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,PARTIDO DEMOCRATICO SOMOS PERU,ALBERT ANIBAL ARENAS YABAR,CUSCO,1966-04-26,M,56
66,49,MOVIMIENTO REGIONAL INKA PACHAKUTEQ,,100.0,"1,170","1,170","61,065",00000049.jpg,27.667,22.448,07,07/10/2022,16:00 h,98.3193,70100,CUSCO,CUSCO,70100,MOVIMIENTO REGIONAL INKA PACHAKUTEQ,LUIS BELTRAN PANTOJA CALVO,CUSCO,1958-12-20,M,63
67,52,MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS,,100.0,356,356,"13,797",00000052.jpg,21.297,18.088,08,07/10/2022,16:00 h,98.3425,80100,HUANCAVELICA,HUANCAVELICA,80100,MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS,GUILLERMO QUISPE TORRES,HUANCAVELICA,1972-05-05,M,50
68,50,MOVIMIENTO REGIONAL AGUA,,100.0,356,356,"23,816",00000050.jpg,36.763,31.222,08,07/10/2022,16:00 h,98.3425,80100,HUANCAVELICA,HUANCAVELICA,80100,MOVIMIENTO REGIONAL AGUA,RODOLFO JAIME ORTIZ ZUASNABAR,HUANCAVELICA,1981-02-04,M,41
69,51,MOVIMIENTO REGIONAL AYNI,,100.0,356,356,"27,170",00000051.jpg,41.94,35.619,08,07/10/2022,16:00 h,98.3425,80100,HUANCAVELICA,HUANCAVELICA,80100,MOVIMIENTO REGIONAL AYNI,TORIBIO WILFREDO CASTRO CORNEJO,HUANCAVELICA,1972-12-05,M,49
70,6,FUERZA POPULAR,,100.0,752,752,"1,860",00000006.jpg,1.314,1.118,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,FUERZA POPULAR,CESAR MILTON CAMPOS RAMIREZ,HUANUCO,1972-09-28,M,50
71,3,RENOVACION POPULAR,,100.0,752,752,"1,931",00000003.jpg,1.365,1.161,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,RENOVACION POPULAR,AMED HUGO LOARTE SANTILLAN,HUANUCO,1967-04-24,M,55
72,8,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.0,752,752,"3,700",00000008.jpg,2.615,2.225,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,PARTIDO POLITICO NACIONAL PERU LIBRE,CONSTANTINO VIDAL GALEANO OCALIO,HUANUCO,1978-07-02,M,44
73,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,752,752,"7,822",00000002.jpg,5.527,4.703,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,PARTIDO DEMOCRATICO SOMOS PERU,JORGE LUIS ESCALANTE SOPLIN,HUANUCO,1972-09-16,M,50
74,56,AVANZADA REGIONAL INDEPENDIENTE UNIDOS POR HUANUCO,,100.0,752,752,"8,576",00000056.jpg,6.06,5.156,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,AVANZADA REGIONAL INDEPENDIENTE UNIDOS POR HUANUCO,TEOBALDO ANTONIO TORRES VILLARREAL,HUANUCO,1973-04-11,M,49
75,53,MOVIMIENTO POLITICO CAMBIEMOS X HCO,,100.0,752,752,"13,498",00000053.jpg,9.538,8.116,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,MOVIMIENTO POLITICO CAMBIEMOS X HCO,FELIX ASCENCIO CHAVEZ,HUANUCO,1973-06-23,M,49
76,7,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.0,752,752,"27,525",00000007.jpg,19.451,16.55,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,JOEL SIMEI CRUZ GUTIERREZ,HUANUCO,1980-09-24,M,42
77,57,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,,100.0,752,752,"36,752",00000057.jpg,25.971,22.097,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,JESUS GILES ALIPAZAGA,HUANUCO,1957-11-23,M,64
78,54,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,,100.0,752,752,"39,847",00000054.jpg,28.158,23.958,09,07/10/2022,16:00 h,96.0409,90100,HUÁNUCO,HUÁNUCO,90100,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,JUAN ANTONIO JARA GALLARDO,HUANUCO,1947-11-28,M,74
79,1,ACCION POPULAR,,100.0,"1,008","1,008","7,795",00000001.jpg,3.696,3.243,10,07/10/2022,16:00 h,98.4375,100100,ICA,ICA,100100,ACCION POPULAR,MILTON NAVARRO GUILLEN,ICA,1977-12-23,M,44
80,6,FUERZA POPULAR,,100.0,"1,008","1,008","7,949",00000006.jpg,3.769,3.307,10,07/10/2022,16:00 h,98.4375,100100,ICA,ICA,100100,FUERZA POPULAR,EDUARDO ENRIQUE OJEDA DAVILA,ICA,1965-01-15,M,57
