,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
57,8456,FE EN EL PERU,1,24,ICA,2898,ICA,,,4,12,12,NO,0,24,REGIONAL
58,12099,MOVIMIENTO REGIONAL WARI LLAQTA,1,59,AYACUCHO,2706,AYACUCHO,,,4,30,29,SI,23,36,REGIONAL
59,7404,FE EN EL PERU,1,16,TUMBES,2898,TUMBES,,,4,7,9,NO,0,16,REGIONAL
60,11738,RENOVACION TUMBESINA,1,16,TUMBES,2171,TUMBES,,,4,8,8,NO,0,16,REGIONAL
61,12417,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,40,CAJAMARCA,2901,CAJAMARCA,,,4,21,19,NO,0,40,REGIONAL
62,454,PODEMOS PERU,1,28,LIMA,2731,LIMA,,,4,15,13,NO,0,28,REGIONAL
63,8272,YO AREQUIPA,1,44,AREQUIPA,2744,AREQUIPA,,,4,22,22,SI,14,30,REGIONAL
64,12068,PARTIDO FRENTE DE LA ESPERANZA 2021,1,24,PIURA,2857,PIURA,,,4,13,11,NO,0,24,REGIONAL
65,12491,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,31,AREQUIPA,2901,AREQUIPA,,,4,15,16,SI,1,30,REGIONAL
66,12588,FUERZA CHALACA,1,20,CALLAO,2676,CALLAO,,,4,9,11,NO,0,20,REGIONAL
67,1261,PODEMOS PERU,1,24,PIURA,2731,PIURA,,,4,11,13,NO,0,24,REGIONAL
68,12645,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,22,AMAZONAS,2901,AMAZONAS,,,4,11,11,NO,0,22,REGIONAL
69,5849,PARTIDO DEMOCRATICO SOMOS PERU,1,26,TACNA,14,TACNA,,,4,13,13,SI,4,22,REGIONAL
70,12730,PODEMOS PERU,1,50,PUNO,2731,PUNO,,,4,24,26,SI,10,40,REGIONAL
71,3738,FUERZA POPULAR,1,22,MOQUEGUA,1366,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
72,1357,PARTIDO FRENTE DE LA ESPERANZA 2021,1,24,APURIMAC,2857,APURIMAC,,,4,13,11,NO,0,24,REGIONAL
73,6151,PARTIDO FRENTE DE LA ESPERANZA 2021,1,58,CUSCO,2857,CUSCO,,,4,29,29,SI,12,46,REGIONAL
74,10465,PARTIDO POLITICO NACIONAL PERU LIBRE,1,24,PIURA,2218,PIURA,,,4,11,13,NO,0,24,REGIONAL
75,11418,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,32,SAN MARTIN,2173,SAN MARTIN,,,4,17,15,NO,0,32,REGIONAL
76,12112,FE EN EL PERU,1,20,CALLAO,2898,CALLAO,,,4,9,11,NO,0,20,REGIONAL
77,12407,PASCO UNIDO,1,26,PASCO,2725,PASCO,,,4,14,12,SI,2,24,REGIONAL
78,12925,PARTIDO DEMOCRATICO SOMOS PERU,1,22,MADRE DE DIOS,14,MADRE DE DIOS,,,4,11,11,NO,0,22,REGIONAL
79,8478,PARTIDO DEMOCRATICO SOMOS PERU,1,28,JUNIN,14,JUNIN,,,4,15,13,NO,0,28,REGIONAL
80,4342,PARTIDO FRENTE DE LA ESPERANZA 2021,1,52,ANCASH,2857,ANCASH,,,4,27,25,NO,0,52,REGIONAL
81,13009,UNION REGIONAL,1,38,SAN MARTIN,2722,SAN MARTIN,,,4,20,18,SI,6,32,REGIONAL
82,11037,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,31,LIMA,2901,LIMA,,,4,15,16,SI,3,28,REGIONAL
